GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
0400000US12,12,Florida,19645772,,14985039,157,11013749,2643,3035646,5751,40591,1416,499958,3302,9630,709,51146,3113,334319,6488,22354,1787,311965,6044,4660733,157,3920953,11048,135462,5251,13978,1484,9127,1054,1394,379,442056,10138,137763,5419,65449,3720,72314,3697
0400000US13,13,Georgia,10006693,,9091573,643,5460401,1602,3054350,4076,18344,1106,358295,2316,4081,418,23031,1967,173071,4853,8081,967,164990,4758,915120,643,565290,7496,42407,2695,7543,1432,2153,538,623,239,256372,7156,40732,2396,23027,1568,17705,1870
0400000US15,15,Hawaii,1406299,,1267048,,321832,231,26681,774,2117,300,517289,3667,127479,2055,1571,432,270079,4361,2095,442,267984,4432,139251,,35332,1757,2007,450,895,206,13262,1648,11422,1329,13293,1406,63040,1976,8237,1079,54803,2029
0400000US16,16,Idaho,1616547,,1425233,110,1342562,453,9346,654,17233,953,20603,845,1748,286,1199,426,32542,1443,611,188,31931,1405,191314,110,140352,3052,554,213,3271,641,1108,532,173,147,37172,2578,8684,1163,4324,746,4360,784
0400000US17,17,Illinois,12873761,,10750920,425,8041878,1771,1818938,3662,14228,783,641068,2430,2567,368,17388,1644,214853,4483,10962,960,203891,4365,2122841,425,1270893,10357,27170,1765,14135,1625,4574,565,840,233,730545,11395,74684,3409,47216,2323,27468,2002
0400000US18,18,Indiana,6568645,,6147439,151,5288121,1149,594251,3056,11827,709,120961,1439,1774,305,8829,1383,121676,3477,3906,660,117770,3445,421206,151,241080,4706,8763,1030,2966,615,768,212,511,302,143193,5224,23925,1787,15237,1434,8688,1133
0400000US19,19,Iowa,3093526,,2925296,123,2703612,476,95692,1469,8232,567,62554,953,1784,268,2399,498,51023,1834,918,202,50105,1816,168230,124,116434,2268,2096,465,1745,388,443,128,98,51,37473,2305,9941,1151,5086,716,4855,828
0400000US20,20,Kansas,2892987,,2569769,80,2228789,395,164058,1812,20209,862,75045,858,1627,210,1928,431,78113,2329,1271,291,76842,2259,323218,81,235777,3178,4344,708,3813,564,608,275,169,103,61255,2527,17252,1214,8821,833,8431,958
0400000US21,21,Kentucky,4397353,,4253872,449,3762154,913,342305,2125,7399,590,55118,794,2074,318,4613,842,80209,2371,1654,412,78555,2333,143481,449,89437,2322,4729,762,1664,481,365,156,123,93,36536,2069,10627,1208,5812,780,4815,898
0400000US22,22,Louisiana,4625253,,4406990,395,2751183,818,1474359,2709,24437,863,77268,980,1757,479,8011,991,69975,2617,2464,433,67511,2585,218263,395,151355,2756,10004,1162,2801,611,550,165,67,43,39584,2329,13902,1476,6817,932,7085,1046
0400000US23,23,Maine,1329100,,1309653,,1247808,302,14473,557,7523,382,14398,547,167,65,705,275,24579,811,389,157,24190,806,19447,,14218,505,564,164,288,117,192,147,20,20,2446,428,1719,361,495,140,1224,313
0400000US24,24,Maryland,5930538,,5396867,,3144084,1117,1723335,2948,11735,589,355373,1739,2382,195,14715,1376,145243,3827,5660,737,139583,3739,533671,,272023,5224,27581,2111,3844,684,2243,453,372,147,197199,5178,30409,2235,14754,1472,15655,1613
0400000US25,25,Massachusetts,6705586,,5997658,480,4982325,2412,434326,3315,7947,619,398722,2122,1275,318,42513,2854,130550,3532,14915,1144,115635,3448,707928,480,352534,5341,44621,2346,5242,783,1953,421,369,125,239082,5070,64127,3172,18263,1578,45864,2722
0400000US26,26,Michigan,9900571,,9433550,71,7513622,1156,1366632,2562,47055,1167,267671,1871,1823,272,12083,1296,224664,3253,6780,559,217884,3326,467021,69,310253,3412,14756,1499,6896,800,1095,239,260,104,97101,3449,36660,1731,18171,1130,18489,1274
